"Market + customer_segment",product_name,product_price,sales,year_month,average_benefit_per_order,Distribution
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-04,76.839998265,2
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-01,40.49000168,1
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-02,76.27000046,2
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-04,52.49000168,1
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-02,32.66999817,1
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-09,-54.633336396666664,3
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-08,42.22999954,1
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-10,-172.07500648,2
Europe&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-09,47.56000137,1
Europe&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-08,50.45000076,1
Europe&Consumer,"Titleist Pro V1x High Numbers Personalized Go",51.99000168,207.9600067,2015-09,42.56000137,1
Europe&Consumer,"Bridgestone e6 Straight Distance NFL Tennesse",31.98999977,127.9599991,2015-09,44.15000153,1
"Pacific Asia&Corporate","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-12,29.22999954,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-05,70.92333348666666,3
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-01,75.86499786499999,2
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-02,50.89500141,2
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-03,42.36333211,3
LATAM&Consumer,"Bridgestone e6 Straight Distance NFL Tennesse",31.98999977,127.9599991,2015-02,9.010000229,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-10,-150.60000469,2
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-09,57.79000092,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-06,37.09999918975,4
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-07,28.165000439499998,2
Europe&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-07,41.5699997,1
Europe&Corporate,"Titleist Pro V1x High Numbers Personalized Go",51.99000168,155.9700012,2015-07,39.79999924,1
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-05,53.82499981,2
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-03,58.79999924,1
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-02,-105.7200012,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-10,57.7450008325,4
Europe&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-06,-72.310001395,2
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-01,43.81000137,1
"Pacific Asia&Corporate","Glove It Women's Imperial Golf Glove",19.98999977,79.95999908,2015-12,-3.779999971,1
Europe&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-06,-27.85999805,3
"Europe&Home Office","Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-10,34.905002615,2
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-03,25.04999924,1
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-01,6.579999924,1
"LATAM&Home Office","Titleist Pro V1x High Numbers Golf Balls",47.99000168,95.98000336,2015-03,19.68000031,1
"LATAM&Home Office","Titleist Pro V1x High Numbers Personalized Go",51.99000168,155.9700012,2015-05,61.38999939,1
"Europe&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-09,50.58000183,1
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-01,54.79000092,1
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-10,-49.18999863,1
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-01,75.3199997,1
"Pacific Asia&Home Office","Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-12,106.19499972,2
"Europe&Home Office","Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-09,-60.75,1
"Pacific Asia&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-12,10.516667047333334,3
"Europe&Home Office","Bridgestone e6 Straight Distance NFL Carolina",31.98999977,95.97000122,2015-09,-58.88999939,1
"Pacific Asia&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-12,-73.41999817,1
"Europe&Home Office","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-09,63.479998585000004,2
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-04,138.8899994,1
"Pacific Asia&Consumer","Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-12,54.27999878,1
Europe&Consumer,"Nike Women's Tempo Shorts",30,150,2015-09,-67.5,1
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-09,73.02000092499999,4
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-10,23.74749946,4
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-06,82.38999939333333,3
Europe&Consumer,"Bridgestone e6 Straight Distance NFL San Dieg",31.98999977,159.9499969,2015-10,45.90999985,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-03,123.8199997,1
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,199.9499969,2015-05,-117.11000189333333,3
LATAM&Consumer,"Glove It Women's Imperial Golf Glove",19.98999977,99.94999695,2015-04,-9.68999958,1
"Pacific Asia&Consumer","Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-11,71.42000008,2
"Pacific Asia&Consumer","Team Golf New England Patriots Putter Grip",24.98999977,124.9499969,2015-11,30.79000092,1
"LATAM&Home Office","Team Golf St. Louis Cardinals Putter Grip",24.98999977,24.98999977,2015-04,11.34000015,1
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-06,31.375,2
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-05,42.68000031,1
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-04,-2.890000105,1
"Pacific Asia&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-12,-3.309999943,1
"Europe&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-10,-40.27499962,2
"LATAM&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-05,-4.584999085,2
"Pacific Asia&Home Office","Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-12,77.75,1
Europe&Consumer,"Hirzl Women's Soffft Flex Golf Glove",17.98999977,53.97000122,2015-10,14.09000015,1
Europe&Consumer,"Hirzl Women's Soffft Flex Golf Glove",17.98999977,89.94999695,2015-09,31.17000008,1
Europe&Corporate,"Hirzl Women's Soffft Flex Golf Glove",17.98999977,17.98999977,2015-07,0,1
"Pacific Asia&Consumer","Hirzl Women's Hybrid Golf Glove",14.98999977,74.94999695,2015-12,18.12999916,1
"Pacific Asia&Consumer","Hirzl Women's Hybrid Golf Glove",14.98999977,14.98999977,2015-11,3.670000076,1
"Europe&Home Office","Hirzl Women's Hybrid Golf Glove",14.98999977,14.98999977,2015-09,2.289999962,1
LATAM&Consumer,"Hirzl Women's Hybrid Golf Glove",14.98999977,59.95999908,2015-03,19.25,1
"Europe&Home Office","Hirzl Men's Hybrid Golf Glove",14.98999977,59.95999908,2015-10,-17,1
Europe&Corporate,"Bag Boy Beverage Holder",24.98999977,124.9499969,2015-10,-46.47999954,2
"LATAM&Home Office","Bag Boy Beverage Holder",24.98999977,49.97999954,2015-05,-18.88999939,1
LATAM&Consumer,"Clicgear 8.0 Shoe Brush",9.989999771,19.97999954,2015-05,1.940000057,1
"LATAM&Home Office","Clicgear 8.0 Shoe Brush",9.989999771,39.95999908,2015-02,16.29999924,1
Europe&Consumer,"Clicgear Rovic Cooler Bag",39.99000168,159.9600067,2015-07,68.37999725,1
LATAM&Consumer,"Clicgear Rovic Cooler Bag",39.99000168,199.9499969,2015-03,13.94999981,1
"LATAM&Home Office","Clicgear Rovic Cooler Bag",39.99000168,159.9600067,2015-02,43.56000137,1
LATAM&Corporate,"Top Flite Women's 2014 XL Hybrid",19.98999977,99.94999695,2015-05,5.760000229,1
"LATAM&Home Office","Top Flite Women's 2014 XL Hybrid",19.98999977,59.97000122,2015-01,19.64999962,1
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-02,62.04000139166667,3
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-08,10.956666946666667,3
Europe&Corporate,"Titleist Pro V1x Golf Balls",47.99000168,47.99000168,2015-06,15.61999989,1
Europe&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-08,-57.2675037525,4
Europe&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-06,34.9280000668,5
LATAM&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-03,11.80666606666666,3
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-06,6.880000114,1
LATAM&Corporate,"Bridgestone e6 Straight Distance NFL Carolina",31.98999977,95.97000122,2015-03,29.13999939,1
LATAM&Corporate,"Glove It Urban Brick Golf Towel",15.98999977,47.97000122,2015-04,-20.39999962,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,299.9500122,2015-06,14.17000008,1
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-01,-10.80000019,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-09,27.34000015,1
LATAM&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-05,136.7899933,1
"Pacific Asia&Corporate","Team Golf St. Louis Cardinals Putter Grip",24.98999977,24.98999977,2015-10,7.860000134,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-08,47.22000122,1
"Pacific Asia&Corporate","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-10,-261.8599854,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-09,57.00999832,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-08,95.59999847,1
"Pacific Asia&Corporate","Perfect Fitness Perfect Rip Deck",59.99000168,239.9600067,2015-11,54.41999817,1
Europe&Corporate,"Bridgestone e6 Straight Distance NFL Carolina",31.98999977,159.9499969,2015-09,18.36000061,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-06,9.470000267,1
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-10,-41.75,1
Europe&Corporate,"Team Golf Tennessee Volunteers Putter Grip",24.98999977,24.98999977,2015-07,10.43999958,1
Europe&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-07,-38.25000507999999,3
Europe&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-09,15.060002633333331,3
LATAM&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-06,27.04000092,1
LATAM&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-02,-35.87857164857144,7
LATAM&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-06,-30.85000038,1
"Pacific Asia&Corporate","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,39.99000168,2015-10,-7.550000191,1
"Pacific Asia&Corporate","Under Armour Girls' Toddler Spine Surge Runni",39.99000168,39.99000168,2015-11,-19.420000075,2
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-10,52.60500145,2
Europe&Corporate,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-09,39.04999924,1
Europe&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,79.98000336,2015-07,4.380000114,1
LATAM&Corporate,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-04,4.920000076,1
LATAM&Corporate,"Glove It Imperial Golf Towel",15.98999977,31.97999954,2015-02,10.27000046,1
LATAM&Corporate,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-05,-25.19000053,1
Europe&Consumer,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-10,70.324998865,4
LATAM&Consumer,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-01,-260.093338,3
LATAM&Consumer,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-05,88.69333393,3
"Pacific Asia&Consumer","Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-11,-65.53250027249999,4
Europe&Consumer,"Titleist Pro V1x Golf Balls",47.99000168,95.98000336,2015-10,2.849999905,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-05,2.039999962,1
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-07,-15.482854565714288,7
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,119.9700012,2015-05,32.32666715,3
LATAM&Consumer,"Glove It Women's Mod Oval Golf Glove",19.98999977,59.97000122,2015-05,-11.05000019,1
LATAM&Consumer,"Titleist Pro V1 High Numbers Personalized Gol",51.99000168,155.9700012,2015-05,36.61000061,1
"Pacific Asia&Consumer","Perfect Fitness Perfect Rip Deck",59.99000168,179.9700012,2015-12,2.6799991660000018,5
LATAM&Consumer,"Under Armour Girls' Toddler Spine Surge Runni",39.99000168,159.9600067,2015-05,-26.03000069,1
LATAM&Consumer,"Team Golf Texas Longhorns Putter Grip",24.98999977,99.95999908,2015-05,41.34000015,1
LATAM&Consumer,"Diamondback Women's Serene Classic Comfort Bi",299.980011,299.980011,2015-03,53.66999912,2
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-09,27.21249997775,4
Europe&Consumer,"Team Golf San Francisco Giants Putter Grip",24.98999977,49.97999954,2015-09,16.79000092,1
LATAM&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-02,28.14999962,2
"Pacific Asia&Consumer","Perfect Fitness Perfect Rip Deck",59.99000168,119.9800034,2015-11,42.325000765,2
Europe&Consumer,"Team Golf Tennessee Volunteers Putter Grip",24.98999977,99.95999908,2015-09,-78.37000275,1
Europe&Consumer,"Perfect Fitness Perfect Rip Deck",59.99000168,59.99000168,2015-06,5.387500048750001,4
